full_name,Semi-Major Axis (AU),Eccentricity,Inclination (deg),Perihelion Dist. (AU),Aphelion Dist. (AU),Period (Years),Diamter (km),Rotational Period (h)
     1 Ceres,2.765348506,0.07913825488,10.58682161,2.546503651,2.984193361,4.598678087,952.4,9.07417
     2 Pallas,2.772153211,0.2309995597,34.8409036,2.13178704,3.412519382,4.615662507,545,7.8132
     3 Juno,2.67073411,0.2553053921,12.97936961,1.988881291,3.352586928,4.364697822,233.92,7.21
     4 Vesta,2.361912323,0.08862258546,7.134062579,2.152593547,2.5712311,3.629976892,530,5.342
     5 Astraea,2.574755183,0.1907415093,5.367230675,2.083642493,3.065867873,4.131541447,119.07,16.8
     6 Hebe,2.425830603,0.2017542405,14.74653952,1.936408992,2.915252213,3.778321486,185.18,7.2745
     7 Iris,2.386283142,0.2304693407,5.524500257,1.83631804,2.936248245,3.686304124,199.83,7.139
     8 Flora,2.20171132,0.1562033447,5.887845989,1.857796648,2.545625992,3.266997223,135.89,12.865
     9 Metis,2.385914524,0.1226961683,5.575230879,2.093171954,2.678657094,3.685450001,190,5.079
    10 Hygiea,3.137034825,0.1161087268,3.841901468,2.772797705,3.501271944,5.556319518,407.12,27.623
    11 Parthenope,2.453026163,0.09884905668,4.626079419,2.210546841,2.695505486,3.842036379,153.33,13.7204
    12 Victoria,2.333142241,0.2213371613,8.369397454,1.81673116,2.849553321,3.563855009,112.77,8.6599
    13 Egeria,2.576076709,0.08388435912,16.54097158,2.359984165,2.792169253,4.134722704,207.64,7.045
    14 Irene,2.586095384,0.1657173702,9.118922511,2.157534458,3.01465631,4.158866798,152,15.028
    15 Eunomia,2.642681236,0.1880098193,11.73888291,2.145831215,3.139531258,4.296109814,255.33,6.083
    16 Psyche,2.922733524,0.1367578091,3.098484976,2.52302689,3.322440157,4.996800769,253.16,4.196
    17 Thetis,2.469757908,0.1339613711,5.588522067,2.138905752,2.800610063,3.881412313,90.04,12.27048
    18 Melpomene,2.295542684,0.2180983128,10.12778248,1.794888698,2.79619667,3.478053524,140.57,11.57
    19 Fortuna,2.441881301,0.1578556535,1.57340395,2.056416532,2.827346069,3.815882787,200,7.4432
    20 Massalia,2.408515038,0.1425955556,0.7081886193,2.065071498,2.751958579,3.73793931,145.5,8.098
    21 Lutetia,2.435358931,0.1640301633,3.064052034,2.035886608,2.834831255,3.800604422,95.76,8.1655
